FTIR,Vehicle Registartion date ,Model,Subject (English),Mileage - Using Time,FTIR Report Date,Date of Incident
FTIR-11326,9-Mar-20,ERTIGA,Customer found vehicle not starting and the battery gets discharged due to defective MGU assy,52496,3/13/2025,2/19/2025
FTIR-11367,30-Aug-19,ERTIGA,Vehicle received with the complaint of vehicle not starting intermediately and battery getting discharged due to defect of MGU assy,11568,2/22/2025,2/22/2025
FTIR-11374,44643,ALTO,REVERSE ALARM NOT WORKING PROPERLY DUE TO THE DEFFECT OF CONTROLLER ASSY PARK SNSR,9824,2/11/2025,2/11/2025
FTIR-11378,27-Sep-22,BALENO,360 Degree camera not working due to camera controller assy defect,36417,3/10/2025,3/10/2025
FTIR-11385,44760,SWIFT,Controller assy not working DTC B1194 B150A,74023,4/24/2025,4/24/2025
FTIR-11402,26-Sep-22,BALENO,360 view camera not working,18882,3/7/2025,3/5/2025
FTIR-11438,25-May-22,BALENO,306 DEGREE REAR VIEW MIRROR CAMERA NOT WORKING,26397,2/19/2025,2/19/2025
FTIR-11479,19-Mar-24,BREZZA,ENGINE NOT STARTING WHILE START THE VEHICLE BATTERY GETTING DISCHARGE,29005,3/26/2025,3/26/2025
FTIR-11491,6-Dec-22,GRAND,ALL CAMERA NOT WORKING AND REVERSE CAMERA ALSO NOT WORKING DUE TO CAMERA CONTROLLER DEFECT,24498,2/3/2025,2/3/2025
FTIR-11492,29-Mar-21,S-PRESSO,reverse alarm not working properly due to defective controller assy park and sensor assy park,23256,4/5/2025,4/5/2025
FTIR-11511,14-Aug-21,CIAZ,THE VEHICLE DOES NOT STARTING IF UNUSED FOR 3 TO 4 DAYS DUE TO MGU ASSY,17351,3/4/2025,3/4/2025
FTIR-11515,6-Jan-24,ERTIGA,ENGINE NOT STARTING PROBLEM AND A OFF LIGHT CONTINOUSLY BLINKING,20930,3/1/2025,3/1/2025
FTIR-11529,22-Oct-22,BALENO,suzuki connect not working,51272,4/26/2025,4/26/2025
FTIR-11538,23-Feb-21,S-PRESSO,vehicle not starting and battery getting discharge due to the defect of MGU assy,29344,3/29/2025,3/29/2025
FTIR-11556,15-Jun-20,ERTIGA,Auto stop switch warning lamp glowing due to failure of Lithium ion battery,64037,4/25/2025,4/25/2025
FTIR-11559,44650,VITARA,Vehicle not starting after parking for three days due to the deffect of ISG unit,17704,2/25/2025,2/25/2025
FTIR-11563,13-Apr-23,WAGONR,FOUND ENGINE NOT STARTING DUE TO BATTERY DEFECTIVE,2018,3/19/2025,3/19/2025
FTIR-11565,43823,XL6,Vehicle not starting after parking for three days due to the defect of MGU unit,18807,2/28/2025,2/28/2025
FTIR-11581,25-Oct-22,IGNIS,Stereo touch screen not responding due to defective stereo assy,36724,2/4/2025,2/4/2025
FTIR-11610,30-Jan-21,ERTIGA,ENGINE NOT STARTING VEHICLE IDEALLY STOPPED THREE TO FOUR DAYS DUE TO MGU ASSY DEFECTED,38920,2/13/2025,2/13/2025
FTIR-11614,9-Feb-22,CELERIO,immobilizer warnning lamp glowing and cluster showing serveice start stop system due to deffective bcm and st relays1,20839,3/20/2025,3/16/2025
FTIR-11623,5-Feb-25,CELERIO,ENGINE NOT STARTINGBATTERY GETTING DISCHARGED BATTERY DEFECTIVE,532,3/7/2025,3/7/2025
FTIR-11631,29-Jan-22,ERTIGA,VEHICLE NOT STARTING AND BATTERY GETTING DISCHARGE DUE TO MGU ASSY PART DEFECTIVE,16663,3/10/2025,3/10/2025
FTIR-11652,30-Dec-21,XL6,MGU NOT WORKING AND VOLTAGE READING LOW SOMETIMES AND CODE P1A0B00,55339,3/15/2025,3/15/2025
FTIR-11658,26-Mar-25,XL6,A STOP Warning lamp glowing We have checked SDT in the vehicle DTC code was P1BB200 Auxiliary power module low state of charge current so Lithium Ion Battery needs to be replace,37,4/4/2025,4/4/2025
FTIR-11661,0,SWIFT,engine not starting,5,2/19/2025,2/18/2025
FTIR-11682,6-Aug-23,SWIFT,vehicle not starting due to faulty bcm,48512,2/22/2025,2/22/2025
FTIR-11698,27-Feb-21,XL6,VEHICLE REPORTED HERE WITH COMPLAINT OF ENGINE NOT STARTING DUE TO BATTERY DOWN WE CHECKED AND FOUND BATTERY FULLY DISCHARGED DUE TO CURRENT LEAKAGE FROM MGU,42156,2/25/2025,2/25/2025
FTIR-11702,0,SWIFT,Vehicle not starting due to battery getting discharge,40,4/22/2025,4/22/2025
