FTIR,Vehicle Registartion date ,Model,Subject (English),Mileage - Using Time,FTIR Report Date,Date of Incident
FTIR-14434,2-May-22,BALENO,360 DEGREE CAMERA NOT WORKING DUE TO DEFFECTIVE CONTROLL ASSY CAMERA,42046,3/18/2025,3/18/2025
FTIR-14451,5-Jul-24,SWIFT,SDM MODULE CONTROLLER ASSYAB NOT WORKING,5676,4/3/2025,4/3/2025
FTIR-14459,31-Dec-21,CIAZ,ENGINE NOT STARTING DUE TO MGU ASSY DEFECTIVE,27146,4/21/2025,4/21/2025
FTIR-14465,12-Jul-23,CELERIO,ENGINE NOT STARTING DUE TO BATTERY CELL DAMAGE,26465,2/28/2025,2/28/2025
FTIR-14467,15-Jan-24,BREZZA,ENGINE NOT STARTING DUE BATTERY DEFECTIVE,19590,4/15/2025,4/15/2025
FTIR-14476,17-Dec-20,XL6,BATTERY GETTING DISCHARGED ENGINE NOT STARTING DUE TO MGU UNIT DEFECTIVE,33516,2/22/2025,2/22/2025
FTIR-14478,7-Dec-22,XL6,360 Deg view camera not working,34414,4/15/2025,4/15/2025
FTIR-14510,45360,XL6,VEHICLE NOT STARTING,29644,4/3/2025,4/3/2025
FTIR-14511,12-Aug-24,BREZZA,Charging socket not working we found wireless charger internally failure,5446,4/21/2025,4/21/2025
FTIR-14543,31-Dec-18,CIAZ,ENGINE NOT STARTING AND BATTERY CURRENT DROPPAGE DUE TO FAULTY MGU ASSY,23430,2/19/2025,2/19/2025
FTIR-14548,28-Jun-23,ERTIGA,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,28660,3/21/2025,3/21/2025
FTIR-14550,24-Feb-21,ERTIGA,ENGINE NOT STARTING AND BATTERY CURRENT DROPPAGE DUE TO FAULTY MGU ASSY,29748,2/20/2025,2/20/2025
FTIR-14558,8-Mar-21,ERTIGA,AUTO STOP LIGHT BLINKING CENTER LOCK NOT WORKING THAT RESULT ALWAYSSHOWING DOOR OPENCONDITION DUE TO BCM NOT RESPONDING PROPERLY,12007,2/1/2025,2/1/2025
FTIR-14559,44194,XL6,vehicle not starting and battery getting discharge due to the defect of MGU assy,15777,2/25/2025,2/25/2025
FTIR-14573,30-Jul-24,WAGONR,vehicle reported to workshop for engine not starting sometimes,40932,4/26/2025,4/26/2025
FTIR-14585,24-Dec-22,BREZZA,MUSIC SYSTEM TOUCH NOT WORKING SOMETIME AND AUTOMATIC WORKING DUE TO DEFECTIVE SYSTEM,39642,3/29/2025,3/29/2025
FTIR-14604,7-Jun-24,BREZZA,Vehicle not starting and battery got discharging due to battery found defective,15854,3/20/2025,3/20/2025
FTIR-14616,44116,VITARA,Vehicle received with the complaint of vehicle not starting intermediately and battery getting discharged due to defect of MGU assy,17668,2/19/2025,2/19/2025
FTIR-14618,17-Feb-23,GRAND,Engine not starting issue due to defective exide battery,27498,2/3/2025,2/3/2025
FTIR-14621,25-Oct-22,IGNIS,Controller assy park SNSR not working warning light glowing on cluster meter,3774,4/2/2025,4/2/2025
FTIR-14626,25-May-22,BALENO,customer was having issue about 360 camera not working,27718,3/28/2025,3/28/2025
FTIR-14637,18-Dec-20,S-PRESSO,Vehicle not starting in some time,47141,4/22/2025,4/22/2025
FTIR-14646,23-Feb-22,WAGONR,ENGINE NOT STARTING,84420,4/3/2025,4/3/2025
FTIR-14653,18-Feb-23,GRAND,Suzuki connect not working DCM,24254,3/21/2025,3/21/2025
FTIR-14654,31-Dec-22,GRAND,SUZUKI CONNECT NOT WORKING DUE TO CONTROLLER ASSYDATA COMMU DEFECT,62365,2/13/2025,2/13/2025
FTIR-14660,25-Apr-19,ERTIGA,We received a vehicle bearing REG no KL29T0829 MARUTI ERTIGA SMART for a vehicle not starting after 2 or more days of parking Found battery discharged No warning lamp glowing As per customer voice vehicle getting discharge,41309,3/20/2025,3/18/2025
FTIR-14661,27-May-24,SWIFT,VEHICLE NOT STARTING DUE TO BATTERY ASSY HAS DEFECTED,21168,2/14/2025,2/14/2025
FTIR-14674,15-Dec-20,VITARA,REVERSE ALARAM NOT WORKING DEU TO FAULTY CONTROLLER ASSY PARK SENCER AND SENCER ASSY PARK,33793,2/7/2025,2/7/2025
FTIR-14705,18-Nov-23,GRAND,vehicle not starting,37900,2/4/2025,2/4/2025
FTIR-14717,16-Jan-21,SWIFT,Central locking not working due to part defective bcm,57019,4/6/2025,4/6/2025
FTIR-14731,28-Apr-23,SWIFT,VEHICLE NOT STARTING DEFECT PART IS ENGINE BATTERY,19907,4/3/2025,4/3/2025
FTIR-14749,21-Jul-20,CIAZ,Vehicle not starting and MIL light glowing and A off light blinking due to pack assy battery found defective,78408,4/23/2025,4/23/2025
FTIR-14786,18-Jun-21,VITARA,Vehicle not starting Due to MGU unit Failure,27731,2/12/2025,2/12/2025
FTIR-14798,29-Jul-21,ERTIGA,VEHICLE REPORTED HERE WITH COMPLAINT OF ENGINE NOT STARTING DUE TO BATTERY DOWN WE CHECKED AND FOUND BATTERY FULLY DISCHARGED DUE TO CURRENT LEAKAGE FROM MGU,24692,2/18/2025,2/17/2025
FTIR-14811,29-Dec-18,CIAZ,Vehicle not starting after parking for three days due to the defect of MGU unit,25473,2/25/2025,2/25/2025
FTIR-14820,30-Jan-19,ERTIGA,VEHICLE NOT STARTING AFTER SOME DAYS OF PARKING PROBLEM WITH MGU ASSY,24752,2/18/2025,2/18/2025
FTIR-14821,19-Aug-22,BALENO,DCM IS NOT WORKING,9763,3/18/2025,3/18/2025
FTIR-14859,20-Mar-24,ERTIGA,smart hybrid not working due to lithium ion battry discharging issue battry not charging due to the issue hybrid system not working,5185,4/10/2025,4/10/2025
FTIR-14864,21-Sep-24,BREZZA,engine not starting due to defective TCM,2063,3/4/2025,3/4/2025
FTIR-14867,18-Oct-22,XL6,STEREO DISPLAY TOUCH NOT WORKING AND OPTION AUTOMATICALLY CHANGED DUE TO STEREO UNIT NEEDS REPAIR,24413,4/26/2025,4/26/2025
FTIR-14873,22-Aug-24,BALENO,Reverse parking assist system and reverse alarm not working while reversing due to the defect of Controller assy Park sensor,11494,3/8/2025,3/8/2025
FTIR-14881,44079,VITARA,REVERSE ALARM NOT WORKING DUE TO CONTROLLER ASSY PARK SENSOR AND CENTER RH CENTER LH SENSOR ASSY PARK DEFECTIVE,27754,3/6/2025,3/6/2025
FTIR-14898,23-Dec-23,XL6,MGU ASSY WAS NOT WORKING PROPERLY,20280,3/18/2025,3/18/2025
FTIR-14904,25-Jul-23,GRAND,BATTERY AND A STOP WARNING LAMP GLOWING VEHICLE NOT STARTING,41374,2/5/2025,2/5/2025
FTIR-14914,12-May-20,XL6,Stereo not responding due to defective stereo assy,54186,2/11/2025,2/11/2025
FTIR-14915,31-Aug-21,CIAZ,ENGINE NOT STARTING,33228,4/8/2025,4/8/2025
FTIR-14928,30-Jun-21,VITARA,INDICATOR LIGHT NOT WORKING DUE TO BCM DEFECTIVE,27931,4/22/2025,4/22/2025
FTIR-14934,31-Jan-24,Baleno,​​Ignis (YJA) - Threats related to information leakage and remote code execution via vehicle Bluetooth communications,61349,3/8/2025,3/8/2025
FTIR-14949,45281,BALENO,SUZUKI CONNECT NOT WORKING AND WRONG DISPLEY,8234,3/24/2025,3/24/2025
FTIR-14998,4-Mar-23,WAGONR,VEHICLE REPORTED TO WORKSHOP FOR ENGINE NOT STARTING CONCERN DUE TO PROBLEM WITH BATTERY,39995,4/26/2025,4/26/2025
FTIR-15005,30-Jan-21,ERTIGA,ENGINE NOT STARTING VEHICLE IDEALLY STOPPED THREE TO FOUR DAYS DUE TO MGU ASSY DEFECTED,38487,3/12/2025,2/13/2025
FTIR-15024,31-Mar-24,CELERIO,ENGINE NOT STARTING,26244,2/14/2025,2/14/2025
FTIR-15037,16-Aug-19,ERTIGA,engine not starting at the same time battery getting discharge up on our detailed inspection mgu assy defect replaced consen pard and problem solved,23132,2/24/2025,2/24/2025
FTIR-15070,5-Nov-23,ERTIGA,ENGINE NOT STARTING DUE BATTERY FOUND DEFECTIVE,29740,2/28/2025,2/28/2025
FTIR-15095,3-Apr-24,FRONX,SPEEDO METER NOT WORKING,23601,3/20/2025,3/20/2025
FTIR-15098,10-Apr-22,BALENO,custoomer complaint 360 view camera not working,29200,3/19/2025,3/18/2025
FTIR-15100,30-Jul-20,SWIFT,Steering is hard with glowing of ABS MIL BRAKE SYSTEM warning light due to defective of ABS actuator assy,28654,3/22/2025,3/22/2025
FTIR-15119,15-Dec-23,BREZZA,ENGINE NOT STARTING DUE BATTERY DEFECTIVE,34717,4/26/2025,4/26/2025
FTIR-15132,45336,BREZZA,The customer has reported that the wireless charger in their Brezza is unable to charge their phone properly Instead it appears to drain the phone battery,11830,2/12/2025,2/12/2025
FTIR-15135,10-Jan-23,GRAND,"Vehicle reported with 360 view camera stop working suddenlyafter we check with sdt dtc found ""B1D0004 INTERNAL CONTROL MODULE ERROR"" as per dtc we are diagnosis with the help of service manual found that the problem occur",12027,3/9/2025,3/9/2025
FTIR-15150,45336,BREZZA,as per the customer his wireless charger not working properly,17900,4/4/2025,4/4/2025
FTIR-15170,30-Apr-21,BALENO,STEREO NOT WORKING STEREO OPERATING AUTOMATICALLY DUE TO STEREO PROBLEM,15187,2/24/2025,2/24/2025
FTIR-15174,12-Feb-23,GRAND,wireless charger some time not working due to charger assy defective,19740,3/16/2025,3/16/2025
FTIR-15205,21-May-24,BALENO,Engine not starting battery issue,11650,3/5/2025,3/5/2025
FTIR-15218,45028,BREZZA,WIRELESS CHARGING SUCKET NOT WORKING,14196,2/28/2025,2/28/2025
FTIR-15233,12-Jul-20,VITARA,DRL INDICATOR BOTH SIDE NOT WORKING WE HAVE CHECKED CONTROLLER ASSY BODY ELEC AND FOUND IT DEFECTIVE,34254,3/12/2025,3/12/2025
FTIR-15286,14-Apr-23,IGNIS,VEHICLE REPORTED WORKSHOP FOR ENGINE NOT STARTING DUE TO PROBLEM WITH BATTERY,16264,4/19/2025,4/19/2025
FTIR-15303,6-Jun-20,ERTIGA,vehicle not starting batery geting discharged MGU assy need to replace,12758,2/27/2025,2/25/2025
FTIR-15306,44225,VITARA,Reverse alarm not working due to defective controller assy park,30266,3/18/2025,3/18/2025
FTIR-15308,20-Nov-20,BALENO,Observed tuner Touch is not working Due to the internal defect in NATSA infotainment system problem has been occurring The Concern system we have inspected another OK good vehicle Similar findings Touch is not working The,19773,2/25/2025,2/25/2025
FTIR-15314,20-Dec-24,FRONX,ENGINE NOT STARTING DUE TO BATTERY CELL DAMAGE,1109,2/26/2025,2/22/2025
FTIR-15320,8-Aug-23,FRONX,problem of indication of MIL and ABS glowing Hill hold and traction not working,27014,4/28/2025,4/28/2025
FTIR-15340,21-Oct-19,XL6,Vehicle received with the complaint of vehicle not starting intermediately and battery getting discharged due to defect of MGU assy,103212,2/22/2025,2/22/2025
FTIR-15360,0,FRONX,The vehicle reports an issue of air bag warning displayed in instrument cluster The problem is related to a defective air bag module,42,3/5/2025,3/5/2025
FTIR-15366,10-Feb-21,ERTIGA,Vehicle not starting and battery getting discharged due to defective MGU assy,40381,2/15/2025,2/15/2025
FTIR-15404,4-Dec-20,BALENO,ABS Handbrake Engine MIL ON steering hard,10848,3/26/2025,3/26/2025
FTIR-15413,28-Feb-25,BALENO,360 degree camera is not working,14000,2/28/2025,2/28/2025
FTIR-15416,30-Jan-24,CELERIO,steering hard and ABS MIL handbrake and power steering warning light glowing continuouslydue to defrctive ABS actuator unit,9971,3/12/2025,3/12/2025
FTIR-15427,17-Nov-20,SWIFT,ABS warning light glowing and power steering not working because of defective ABS actuator assy,16885,3/4/2025,3/4/2025
FTIR-15447,22-Jun-20,BALENO,ABS steering and hand brake malfuction light glowing continuosly inspected and found defctive ABS Actuator assy,43171,3/23/2025,3/23/2025
FTIR-15456,20-Jun-24,WAGONR,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,36240,3/11/2025,3/11/2025
FTIR-15473,12-Dec-19,XL6,ENGINE NOT STARTING AND BATTERY CURRENT DROPPAGE DUE TO FAULTY MGU ASSY,40074,2/24/2025,2/24/2025
FTIR-15491,23-Jan-21,SWIFT,WARNING LIGHT GLOWING ABSSRSBRAKE DTC CODE APPEARED U0121 LOST COMMINUCATION WITH ABSESP CONTROL MODULE DUE TO ABS CONTROL MODULE NOT RESPONDING PROPERLY THAT RESULT WARNING LIGHT GLOWING STEERING GETTING HARD,28296,2/19/2025,2/19/2025
FTIR-15518,27-Jan-21,XL6,Engine not starting battery getting discharge after 1st to 3rd days we check not found current leakage from MGU assy but DTC found P1A0B00 replaced MGU problem got resolved,23559,4/1/2025,4/1/2025
FTIR-15551,0,BREZZA,ENGINE NOT STARTING DUE TO DEFECTIVE ECM ASSY,8,4/8/2025,4/8/2025
FTIR-15558,16-May-22,ERTIGA,A OFF LIGHT IS BLINKING SHVS SYSTEM IS NOT WORKING DUE TO LITHIUM ION BATTERY DEFECTIVE,64125,2/18/2025,2/18/2025
FTIR-15563,18-Jul-20,ERTIGA,customer complaint is vehicle not starting battery getting dischargeworkshop observation is mgu complaint,28652,3/4/2025,3/4/2025
FTIR-15599,10-Aug-18,CIAZ,VEHICLE START AND STOP AFTER SOME TIME AUTOMATICALLY,21379,2/25/2025,2/25/2025
FTIR-15606,27-Jul-22,BALENO,stereo not responding touch not working stereo complaint,35861,3/6/2025,3/6/2025
FTIR-15608,6-Mar-21,S-PRESSO,ENGINE NOT STARTING,9683,2/24/2025,2/24/2025
FTIR-15631,7-May-24,GRAND,VEHICLE NOT STARTING,14074,4/1/2025,4/1/2025
FTIR-15637,31-Dec-24,GRAND,Urban Cruiser Hyryder [FG2312A] Vehicle not starting due to fuel level wrong indication by combination meter.,124,2/28/2025,1/31/2025
FTIR-15643,28-Apr-21,Vitara,Mitsubishi Electric Engine Controller Unauthorized Modification,73623,3/8/2025,3/8/2025
FTIR-15646,23-Apr-19,ERTIGA,ENGINE NOT STARTING WHEN VEHICLE PARKED FOR 4 OR MORE DAYS MGU ASSY TO BE DEFECTIVE,45667,2/26/2025,2/26/2025
FTIR-15662,14-Jan-19,CIAZ,The AUTO STOP warning lamp Glowing and Battery getting dischargedd condition due to defective of motor,33537,4/4/2025,4/4/2025
FTIR-15690,15-Jan-25,BALENO,ENGINE NOT STARTING,2341,3/11/2025,3/11/2025
FTIR-15695,24-Dec-24,XL6,the Csutomer reported an vehicle not starting issue with the vehicle,3490,3/18/2025,3/18/2025
FTIR-15722,28-Oct-24,ALTO,DICKY NOT OPEN THROUGH KEY DUE TO STEERING LOCK SET ASSY FOUND DEFECTIVE,3398,2/5/2025,2/5/2025
FTIR-15740,12-May-23,BREZZA,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,14859,4/6/2025,4/6/2025
FTIR-15742,16-Jun-22,BALENO,Stereo Touch Not working intermittentlyAnd touch working automaticallyWith out touching,25225,2/1/2025,2/1/2025
FTIR-15768,21-Mar-23,S-PRESSO,controller assy not working,13301,3/18/2025,3/18/2025
FTIR-15772,29-May-23,XL6,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,39289,3/11/2025,3/11/2025
FTIR-15773,29-Mar-23,SWIFT,some time Hard to remove key its remains stuck due to defective steering lock set,30641,3/4/2025,3/4/2025
FTIR-15774,27-May-24,ERTIGA,Rumion [K15CR] Auto start-stop function inoperative and MIL also glowing in combination due to defective LI ion Battery [multiple Pseries DTCs],3360,2/28/2025,2/2/2025
FTIR-15784,44869,BALENO,Camera not working,33670,2/15/2025,2/15/2025
FTIR-15834,24-Nov-24,SWIFT,VEHICLE NOT STARTING AT MORNING TIME. BATTERY DRAIN OVER NIGHT,2261,4/20/2025,3/22/2025
FTIR-15856,45259,ERTIGA,vehicle not starting due to defective battery,39417,3/24/2025,3/24/2025
FTIR-15859,31-Oct-24,XL6,service connect shown in cluster meter suzuki connet not working,6114,4/7/2025,4/7/2025
FTIR-15860,22-Dec-22,BALENO,"Toyota Glanza [K12N24] Audio system display screen stuck due to defective Reciever Assy, Radio [No DTC]",13556,3/19/2025,2/5/2025
FTIR-15875,10-Sep-21,XL6,engine not starting and mil light glowing,80477,4/23/2025,4/23/2025
FTIR-15876,20-Sep-21,ERTIGA,ENGINE NOT STARTING MGU ASSY,49123,4/25/2025,4/24/2025
FTIR-15901,26-May-23,CELERIO,vehicle running time ABSESP light a stop light and mil light glowing due to abs actuator assy dffective,30990,2/17/2025,2/17/2025
FTIR-15911,18-Aug-22,BREZZA,As per customer voice during checking found that starting music Selfblinking2touch screen is some time not working 3 No Bluetooth connected with any mobile,9085,2/22/2025,2/22/2025
FTIR-15921,10-Feb-25,SWIFT,ENGINE NOT STARTING,2024,4/4/2025,4/4/2025
FTIR-15940,30-Dec-19,XL6,before ftir no 19011901242538 UNDER WARRANTEY ISSUE A OFF LIGHT BLINKINGIDLE AUTO STARTSTOP NOT WORKING due to lithium ion battery defective,58902,4/17/2025,4/17/2025
FTIR-15945,31-Aug-21,BALENO,ABS Steering and Brake light glowing on cluster and Steering hard to operate Due to defective Actuator Assy ABS,26376,4/19/2025,4/19/2025
FTIR-15952,30-Apr-22,BALENO,reverse camera not working,12094,2/4/2025,2/4/2025
FTIR-15962,9-May-23,BREZZA,Running Time Engine Jerking Defect part ECM,13343,3/17/2025,3/17/2025
FTIR-15973,27-Dec-21,XL6,VEHICLE NOT STARTING DUE TO DISCHARGED BATTERY AS THE CURRENT DRAINS IN MGU,21733,3/14/2025,3/14/2025
FTIR-16013,21-Jul-23,GRAND,Vehicle not starting BAttery geeting discharged,23917,3/24/2025,3/24/2025
FTIR-16019,45150,BALENO,WHILE DRIVING SUZUKI NOT WORKING DEFECTIVE PART DCM,15673,2/6/2025,2/5/2025
FTIR-16022,10-Jun-24,ERTIGA,AUTO STOP LIGHT BLINKING DUE TO LITHIUM ION BATTERY DEFECTIVE,5933,2/19/2025,2/19/2025
FTIR-16045,10-Jun-21,S-PRESSO,ENGINE NOT STARTING DUE TO MGU ASSY NEED CHANGE,26199,2/23/2025,2/23/2025
FTIR-16046,12-Jul-24,FRONX,VEHICLE NOT STARTING AND AUTOMATIVE GEAR LIGHT BLINKINGDTC CODE FOUND U0204B1B150A13 DUE TO ABS ACTUATOR ASSY FAULTY,12120,3/2/2025,3/2/2025
FTIR-16052,26-Sep-19,CIAZ,THE VEHICLE DOES NOT STARTING IF UNUSED FOR 3 TO 4 DAYS DUE TO MGU ASSEMBLY,36639,3/6/2025,3/6/2025
FTIR-16087,27-Oct-23,BREZZA,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,31362,3/1/2025,3/1/2025
FTIR-16108,29-Mar-24,WAGONR,Vehicle recived By Towing For Vehicle not starting Issue,5378,2/13/2025,2/12/2025
FTIR-16126,4-Mar-23,BREZZA,WARNING LIGHT GLOWING AND VEHICLE NOT STARTING SOME TIMES LI ION BATTERY DEFFECTIVE,26208,4/17/2025,4/17/2025
FTIR-16127,31-Jul-24,SWIFT,VEHICLE RUNNING TIME RPM FLUCTUATION DUE TO DEFICTIVE PARTS ECM,15170,3/19/2025,3/19/2025
FTIR-16131,29-Aug-23,INVICTO,ENGINE NOT STARTING BATTERY GETTING DISCHARGED AMARON DIN50 BATTERY,21859,4/18/2025,4/18/2025
FTIR-16137,22-Apr-24,Vitara,"YW6: The vehicle was stolen and recovered by the police (the passenger window, steering lock and key cylinder were destroyed, and the ECM was missing).",73761,4/10/2025,2/20/2025
FTIR-16143,2-May-24,SWIFT,CUSTOMER CAME WITH A PROBLEM OF CNG MODE IS NOT SWITCH AUTOMATIC OR SWITCHING OF FUEL MODE FUEL TO CNG IS NOT WORKING PROPERLY,39565,3/9/2025,3/9/2025
FTIR-16152,27-Aug-24,GRAND,wireless charger getting cut off after 5min when phone is kept for charging due to thye defect of wireless charger assy,21729,3/3/2025,3/3/2025
FTIR-16162,31-Aug-24,ERTIGA,A OFF LIGHT IS BLINKING SHVS SYSTEM IS NOT WORKING DUE TO LITHIUM ION BATTERY IS DEFECTIVE,21293,4/1/2025,4/1/2025
FTIR-16163,2-May-22,BALENO,360 DEGREE CAMERA NOT WORKING DUE TO DEFFECTIVE CONTROLL ASSY CAMERA,42046,3/18/2025,3/18/2025
FTIR-16177,31-Dec-21,XL6,vechle not starting mgu assy,29533,3/27/2025,3/27/2025
FTIR-16185,19-Mar-22,XL6,Vehicle not starting and battery getting discharged due to defective MGU assy,25410,2/12/2025,2/12/2025
FTIR-16186,24-Jul-20,VITARA,The revers alarm does not working properly due to the defective of CONTROLLER ASSY PARK SNSR Internal faulty,68822,2/17/2025,2/17/2025
FTIR-16191,6-Aug-22,CELERIO,Engine not starting due to defective ECM,60264,3/12/2025,3/12/2025
FTIR-16220,45209,Vitara,​​Ignis (YJC) Suzuki Connect App Vulnerability,63633,4/10/2025,2/20/2025
FTIR-16231,26-Dec-23,FRONX,ABS LIGHT GLOWING AND SPEEDO METER NOT WORKING IN CLUSTER METER ACTUATOR ASSY,10989,2/11/2025,2/11/2025
FTIR-16240,13-Jun-20,S-PRESSO,REVERSE ALARM NOT WORKING DUE TO FAULTY CONTROLLER ASSY PARKING AND SENSOR ASSY PARK,45465,2/27/2025,2/27/2025
FTIR-16242,30-Oct-20,VITARA,Customer complaint turn indicators switch on time front both side headlight indicator not working and sdt connectedNo dtc code found and BCM assy is deffective,33414,2/18/2025,2/18/2025
FTIR-16265,16-Mar-23,CIAZ,VEHICLE NOT STARTING DUE TO ISG FAILURE,12061,2/12/2025,2/12/2025
FTIR-16276,28-Dec-19,CIAZ,Vehicle not starting sub battery getting drained due to MGU internal failure,53827,2/28/2025,2/24/2025
FTIR-16289,20-May-24,SWIFT,CUSTOMER CONCERN AC NOT EFFECTIVE AND WORKSHOP OBSERVED CHECK SDT 2 AND FOUND CODE P0533 AC REFRIGAMENT PRESSURE SENSOR A CIRCUIT HIGH STATUS IN CURRENT INTERNAL FAILURE AND DEFECTIVE,25597,2/10/2025,2/10/2025
FTIR-16305,29-Sep-20,XL6,As per customer consrn some time engine not starting warning light glowing,87881,3/28/2025,3/28/2025
FTIR-16328,31-Aug-23,SWIFT,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,29561,4/1/2025,4/1/2025
FTIR-16350,11-Mar-20,ERTIGA,The AUTO STOP warning lamp Glowing and Battery getting dischargedd condition due to defective of motor generator assy MGU Internal faulty condition,18198,2/24/2025,2/24/2025
FTIR-16351,30-Jan-25,SWIFT,engine not starting,2669,3/8/2025,3/7/2025
FTIR-16362,8-Sep-20,S-PRESSO,Vehicle not starting sub battery getting drained due to MGU internal failure,39323,4/26/2025,4/26/2025
FTIR-16365,31-May-19,CIAZ,customer reported in workshop with auto off not working due to defective lithium ion battery,35568,2/6/2025,2/6/2025
FTIR-16384,25-Nov-20,ERTIGA,Vehicle not starting and ABS and brake warning light continually glowing due to defective ABS actuator unit,23708,4/5/2025,4/5/2025
FTIR-16387,29-Mar-22,WAGONR,steering hard abs light and mil light glowing acutator assy abs,18364,3/21/2025,3/21/2025
FTIR-16407,31-Mar-25,ERTIGA,Engine check lamp and tranction control warning light glowing and vehicle not starting,10,4/2/2025,4/1/2025
FTIR-16412,28-Sep-20,XL6,Vehicle not starting after parking for three days due to the defect of MGU unit,41795,2/22/2025,2/22/2025
FTIR-16413,44765,BALENO,stere touch screen not working properly due to internal failure,51704,4/21/2025,4/21/2025
FTIR-16422,17-Aug-20,XL6,vehicle not starting battery disharging quickly,15850,2/11/2025,2/11/2025
FTIR-16426,9-Jun-22,ERTIGA,AUTOSTOP NOT WORKING WITH A DTC CODE OF POA7D00 DUE TO LI BATTERY CHARGING NOT HAPPENING,59511,2/22/2025,2/22/2025
FTIR-16436,30-Jun-20,ERTIGA,battery getting discharge intermittently is due to the compaint of MGUASSY,38315,3/26/2025,3/26/2025
FTIR-16447,30-Jan-21,SWIFT,ABS MIL Hand Brake and Transmission warning light glowing due to the defective of ACTUATOR ASSY ABS and need to replace,55009,2/25/2025,2/25/2025
FTIR-16449,29-Jul-21,BALENO,Harman infotainment system screen touch not working reverse camera not working and also speaker not working due to some internal defect in Harman system,17556,3/29/2025,3/29/2025
FTIR-16452,5-Apr-22,CIAZ,EngAStopOff light and Auxiliary Light glowing After diagnose we found some DTC's P1374 P1375,38142,4/28/2025,4/28/2025
FTIR-16470,26-Sep-23,SWIFT,ENGINE NOT STARTING DUE TO BATTERY CELL DAMAGE,30786,2/25/2025,2/25/2025
FTIR-16471,44560,XL6,vehicle not starting and battery getting discharge due to the defect of MGU assy,17695,3/5/2025,3/5/2025
FTIR-16472,22-Feb-20,XL6,Vehicle not starting after parking for three days due to the defect of MGU unit,36634,4/19/2025,4/19/2025
FTIR-16475,16-Dec-23,CELERIO,absbrake mil warning light glowing,6736,4/16/2025,4/16/2025
FTIR-16477,44151,CIAZ,CUSTOMER CONCERN SHVS NOT WORKING AND A OFF LIGHT GLOWING DUE TO LITHIUM ION BATTERY INTERNAL DEFECTIVE,77092,3/1/2025,3/1/2025
FTIR-16499,26-Apr-23,XL6,360 DEGREE CAMARA NOT WORKING CHECK FOUND CAMARA CONTROLLER MODULE ASSY FAULTY,45429,2/28/2025,2/28/2025
FTIR-16510,45009,WAGONR,Reverse Alaram not working due to defective of controller assy park sensor,11676,4/8/2025,4/8/2025
FTIR-16527,28-Feb-25,SUPER CARRY ,KEY WARNING LIGHT GLOWING CONTIUOUSLY DUE TO STEERING LOCK SET DEFECTIVE,10,2/5/2025,2/5/2025
FTIR-16561,31-May-23,IGNIS,During inspection found vechile engine not starting due to defective Amaron battery,60748,3/20/2025,3/20/2025
FTIR-16595,28-Jan-21,SWIFT,STEERING HARD ABS LIGHT BRAKE LIGHT GLOWING ACTUATOR ASSY ABS,6671,3/8/2025,3/8/2025
FTIR-16596,3-Mar-21,VITARA,reverse gear shifting time park sensor alarm not working park sensor controller assy not working properly,64981,4/9/2025,4/9/2025
FTIR-16625,31-May-24,FRONX,Urban Cruiser Taisor [K10TR] Vehicle not starting and service ESP system warning message displayed due to defective HUD Assy [multiple U series DTCs],7890,2/28/2025,1/31/2025
FTIR-16645,30-Nov-24,GRAND,"UC HYRYDER (FGB329M) WIRELESS CHARGER NOT WORKING DUE TO INTERNAL DEFECT IN CRADLE ASSY, MOBILE WIRELESS CHARGER.",1165,3/19/2025,2/6/2025
FTIR-16650,15-May-20,ERTIGA,Vehicle not starting Due to MGU unit Failure,21432,2/28/2025,2/28/2025
FTIR-16656,27-Sep-19,ERTIGA,Vehicle received with the complaint of vehicle not starting intermediately and battery getting discharged due to defect of MGU assy,19320,3/27/2025,3/27/2025
FTIR-16672,30-Jun-21,BALENO,Intermittently Steering is hard with glowing of ABS MIL BRAKE SYSTEM and POWER STEERING warning light due to defective of ABS actuator assy,35616,2/20/2025,2/20/2025
FTIR-16704,28-Apr-23,S-PRESSO,ENGINE NOT STARTING CHECKED BATTERY PROBLEM,5245,3/13/2025,3/13/2025
FTIR-16740,30-Dec-20,BALENO,stereo not working Touch screen of tuner assembly is not responding not working,21591,3/31/2025,3/31/2025
